loss=0.8953, Monte Carlo price=0.1170, predicted=0.1181
loss=0.9134, Monte Carlo price=0.1185, predicted=0.1168
loss=0.9216, Monte Carlo price=0.1166, predicted=0.1134
loss=0.8875, Monte Carlo price=0.1202, predicted=0.1204
loss=0.9154, Monte Carlo price=0.1226, predicted=0.1223
loss=0.9064, Monte Carlo price=0.1182, predicted=0.1203
loss=0.9129, Monte Carlo price=0.1177, predicted=0.1217
loss=0.9184, Monte Carlo price=0.1197, predicted=0.1245
loss=0.8943, Monte Carlo price=0.1173, predicted=0.1212
loss=0.8903, Monte Carlo price=0.1187, predicted=0.1274
loss=0.9341, Monte Carlo price=0.1208, predicted=0.1328
loss=0.8855, Monte Carlo price=0.1161, predicted=0.1293
loss=0.8892, Monte Carlo price=0.1160, predicted=0.1205
loss=0.9210, Monte Carlo price=0.1183, predicted=0.1288
loss=0.8887, Monte Carlo price=0.1140, predicted=0.1335
loss=0.9110, Monte Carlo price=0.1192, predicted=0.1296
loss=0.8924, Monte Carlo price=0.1153, predicted=0.1253
loss=0.8716, Monte Carlo price=0.1185, predicted=0.1174
loss=0.9111, Monte Carlo price=0.1213, predicted=0.1184
loss=0.8852, Monte Carlo price=0.1158, predicted=0.1231
loss=0.9322, Monte Carlo price=0.1222, predicted=0.1220
loss=0.9327, Monte Carlo price=0.1212, predicted=0.1250
loss=0.9029, Monte Carlo price=0.1195, predicted=0.1234
loss=0.9147, Monte Carlo price=0.1183, predicted=0.1199
loss=0.8655, Monte Carlo price=0.1186, predicted=0.1219
loss=0.9692, Monte Carlo price=0.1215, predicted=0.1164
loss=0.9764, Monte Carlo price=0.1238, predicted=0.1156
loss=0.8853, Monte Carlo price=0.1149, predicted=0.1212
loss=0.9134, Monte Carlo price=0.1194, predicted=0.1232
loss=0.9479, Monte Carlo price=0.1255, predicted=0.1223
loss=0.8597, Monte Carlo price=0.1157, predicted=0.1191
loss=0.8898, Monte Carlo price=0.1179, predicted=0.1143
loss=0.9197, Monte Carlo price=0.1212, predicted=0.1175
loss=0.9159, Monte Carlo price=0.1211, predicted=0.1184
loss=0.9498, Monte Carlo price=0.1219, predicted=0.1269
loss=0.9080, Monte Carlo price=0.1200, predicted=0.1329
loss=0.8765, Monte Carlo price=0.1165, predicted=0.1303
loss=0.8905, Monte Carlo price=0.1176, predicted=0.1321
loss=0.9375, Monte Carlo price=0.1217, predicted=0.1320
