it,ground_truth,pred,mse
1530,0.119235384740485,0.12526316940784454,3.6334187996054726e-05
1540,0.119235384740485,0.11778748035430908,2.0964271115074805e-06
1550,0.119235384740485,0.12176094949245453,6.378477316390875e-06
1560,0.119235384740485,0.1208215206861496,2.5158272381293055e-06
1570,0.119235384740485,0.11971583962440491,2.3083689548248533e-07
1580,0.119235384740485,0.12246312201023102,1.0418287882507437e-05
1590,0.119235384740485,0.12181797623634338,6.669778834480011e-06
1600,0.119235384740485,0.11869512498378754,2.918806047068093e-07
1610,0.119235384740485,0.1257694810628891,4.269441475045469e-05
1620,0.119235384740485,0.11476774513721466,1.9959803624709614e-05
1630,0.119235384740485,0.12410727143287659,2.3735279943502176e-05
1640,0.119235384740485,0.1181621327996254,1.1518697285589192e-06
1650,0.119235384740485,0.12628869712352753,4.974921557278096e-05
1660,0.119235384740485,0.1186726838350296,3.16632309000332e-07
1670,0.119235384740485,0.12270522117614746,1.2039764890250726e-05
1680,0.119235384740485,0.12263035774230957,1.152584168311769e-05
1690,0.119235384740485,0.1209585964679718,2.9694586577480253e-06
1700,0.119235384740485,0.123057059943676,1.4605201358684883e-05
1710,0.119235384740485,0.11905829608440399,3.1360392112579927e-08
1720,0.119235384740485,0.12064693123102188,1.992463494946967e-06
1730,0.119235384740485,0.11917033046483994,4.232058779704899e-09
1740,0.119235384740485,0.12229185551404953,9.342013589654118e-06
1750,0.119235384740485,0.1199580654501915,5.22267408181878e-07
1760,0.119235384740485,0.12197557836771011,7.508661114685089e-06
1770,0.119235384740485,0.11970057338476181,2.1640047476409074e-07
1780,0.119235384740485,0.11773659288883209,2.246377014581171e-06
1790,0.119235384740485,0.12244290858507156,1.0288209213591328e-05
1800,0.119235384740485,0.11922633647918701,8.187103251678949e-11
1810,0.119235384740485,0.1210174411535263,3.1757250592616234e-06
1820,0.119235384740485,0.12054495513439178,1.7149746165971543e-06
1830,0.119235384740485,0.11697837710380554,5.094083472029421e-06
1840,0.119235384740485,0.12330461293458939,1.655861809569399e-05
1850,0.119235384740485,0.11962558329105377,1.5225490886596545e-07
1860,0.119235384740485,0.12152741849422455,5.253418728281375e-06
1870,0.119235384740485,0.12068343162536621,2.0968397808141603e-06
1880,0.119235384740485,0.11874198168516159,2.434465750024818e-07
1890,0.119235384740485,0.122815802693367,1.2819392717319717e-05
1900,0.119235384740485,0.12046845257282257,1.5204562791456596e-06
1910,0.119235384740485,0.12401868402957916,2.2879952089048658e-05
1920,0.119235384740485,0.11778295040130615,2.109565509625915e-06
1930,0.119235384740485,0.12381390482187271,2.0962846135670474e-05
1940,0.119235384740485,0.12151521444320679,5.197623473412483e-06
1950,0.119235384740485,0.11944253742694855,4.291223550906208e-08
1960,0.119235384740485,0.11996099352836609,5.265081130502537e-07
1970,0.119235384740485,0.12256015837192535,1.1054119700321035e-05
1980,0.119235384740485,0.12032617628574371,1.1898261952078776e-06
1990,0.119235384740485,0.12055137753486633,1.7318370348635725e-06
